2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.25063,18.91915,18.82745,18.73575,18.64405,18.55235,18.46065,18.45401,18.44737,18.44073,18.43409,18.42745,18.34891,18.27037,18.19183,18.11329,18.03475,17.59441,17.15407,16.71373,16.27339,15.83305,15.46404,15.09503,14.72602,14.35701,13.988,13.42173,12.85546,12.28919,11.72292,11.15665,10.76336,10.37007,9.97678,9.58349,9.1902,9.12348,9.05676,8.99004,8.92332,8.8566,8.82371,8.79082,8.75793,8.72504,8.69215,8.67514,8.65813,8.64112,8.62411,8.6071,8.61091,8.61472,8.61853,8.62234,8.62615,8.59447,8.56279,8.53111,8.49943,8.46775,8.38693,8.30611,8.22529,8.14447,8.06365,7.94887,7.83409,7.71931,7.60453,7.48975,7.41201,7.33427,7.25653,7.17879,7.10105,6.6403,6.91675,6.8246,6.73245,6.6403,6.54742,6.45454,6.36166,6.26878,6.1759
4.24751,4.22495,4.21845,4.21195,4.20545,4.19895,4.19245,4.21773,4.24301,4.26829,4.29357,4.31885,4.34698,4.37511,4.40324,4.43137,4.4595,4.36489,4.27028,4.17567,4.08106,3.98645,3.90977,3.83309,3.75641,3.67973,3.60305,3.45918,3.31531,3.17144,3.02757,2.8837,2.79937,2.71504,2.63071,2.54638,2.46205,2.48696,2.51187,2.53678,2.56169,2.5866,2.61875,2.6509,2.68305,2.7152,2.74735,2.7865,2.82565,2.8648,2.90395,2.9431,2.97017,2.99724,3.02431,3.05138,3.07845,3.07409,3.06973,3.06537,3.06101,3.05665,3.02867,3.00069,2.97271,2.94473,2.91675,2.87657,2.83639,2.79621,2.75603,2.71585,2.70108,2.68631,2.67154,2.65677,2.642,2.595,2.6232,2.6138,2.6044,2.595,2.59018,2.58536,2.58054,2.57572,2.5709
5.84288,5.6828,5.62154,5.56028,5.49902,5.43776,5.3765,5.36337,5.35024,5.33711,5.32398,5.31085,5.32621,5.34157,5.35693,5.37229,5.38765,5.29953,5.21141,5.12329,5.03517,4.94705,4.87945,4.81185,4.74425,4.67665,4.60905,4.44169,4.27433,4.10697,3.93961,3.77225,3.69091,3.60957,3.52823,3.44689,3.36555,3.37132,3.37709,3.38286,3.38863,3.3944,3.41057,3.42674,3.44291,3.45908,3.47525,3.49316,3.51107,3.52898,3.54689,3.5648,3.57718,3.58956,3.60194,3.61432,3.6267,3.61753,3.60836,3.59919,3.59002,3.58085,3.5628,3.54475,3.5267,3.50865,3.4906,3.4682,3.4458,3.4234,3.401,3.3786,3.36581,3.35302,3.34023,3.32744,3.31465,3.18315,3.26205,3.23575,3.20945,3.18315,3.17099,3.15883,3.14667,3.13451,3.12235
9.05599,8.65955,8.44496,8.23037,8.01578,7.80119,7.5866,7.52429,7.46198,7.39967,7.33736,7.27505,7.23815,7.20125,7.16435,7.12745,7.09055,6.93497,6.77939,6.62381,6.46823,6.31265,6.18826,6.06387,5.93948,5.81509,5.6907,5.516,5.3413,5.1666,4.9919,4.8172,4.69396,4.57072,4.44748,4.32424,4.201,4.20018,4.19936,4.19854,4.19772,4.1969,4.20961,4.22232,4.23503,4.24774,4.26045,4.28556,4.31067,4.33578,4.36089,4.386,4.39317,4.40034,4.40751,4.41468,4.42185,4.37522,4.32859,4.28196,4.23533,4.1887,4.10972,4.03074,3.95176,3.87278,3.7938,3.71324,3.63268,3.55212,3.47156,3.391,3.35164,3.31228,3.27292,3.23356,3.1942,3.02025,3.12462,3.08983,3.05504,3.02025,2.99687,2.97349,2.95011,2.92673,2.90335
5.04478,5.00465,4.98314,4.96163,4.94012,4.91861,4.8971,4.95073,5.00436,5.05799,5.11162,5.16525,5.22218,5.27911,5.33604,5.39297,5.4499,5.21147,4.97304,4.73461,4.49618,4.25775,4.07369,3.88963,3.70557,3.52151,3.33745,2.9874,2.63735,2.2873,1.93725,1.5872,1.47186,1.35652,1.24118,1.12584,1.0105,1.0099,1.0093,1.0087,1.0081,1.0075,1.01104,1.01458,1.01812,1.02166,1.0252,1.03196,1.03872,1.04548,1.05224,1.059,1.06586,1.07272,1.07958,1.08644,1.0933,1.09351,1.09372,1.09393,1.09414,1.09435,1.09021,1.08607,1.08193,1.07779,1.07365,1.06615,1.05865,1.05115,1.04365,1.03615,1.03379,1.03143,1.02907,1.02671,1.02435,1.01505,1.02063,1.01877,1.01691,1.01505,1.01339,1.01173,1.01007,1.00841,1.00675
