2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.30352,18.97635,18.88997,18.80359,18.71721,18.63083,18.54445,18.44618,18.34791,18.24964,18.15137,18.0531,17.85712,17.66114,17.46516,17.26918,17.0732,16.52635,15.9795,15.43265,14.8858,14.33895,13.8679,13.39685,12.9258,12.45475,11.9837,11.39303,10.80236,10.21169,9.62102,9.03035,8.6449,8.25945,7.874,7.48855,7.1031,6.96135,6.8196,6.67785,6.5361,6.39435,6.28227,6.17019,6.05811,5.94603,5.83395,5.60257,5.37119,5.13981,4.90843,4.67705,4.57844,4.47983,4.38122,4.28261,4.184,4.09799,4.01198,3.92597,3.83996,3.75395,3.68582,3.61769,3.54956,3.48143,3.4133,3.35275,3.2922,3.23165,3.1711,3.11055,3.05602,3.00149,2.94696,2.89243,2.8379,2.56655,2.72936,2.67509,2.62082,2.56655,2.52522,2.48389,2.44256,2.40123,2.3599
4.19985,4.16745,4.1454,4.12335,4.1013,4.07925,4.0572,4.05301,4.04882,4.04463,4.04044,4.03625,4.00152,3.96679,3.93206,3.89733,3.8626,3.73469,3.60678,3.47887,3.35096,3.22305,3.12842,3.03379,2.93916,2.84453,2.7499,2.62082,2.49174,2.36266,2.23358,2.1045,2.02244,1.94038,1.85832,1.77626,1.6942,1.69418,1.69416,1.69414,1.69412,1.6941,1.69103,1.68796,1.68489,1.68182,1.67875,1.64587,1.61299,1.58011,1.54723,1.51435,1.50522,1.49609,1.48696,1.47783,1.4687,1.4603,1.4519,1.4435,1.4351,1.4267,1.42103,1.41536,1.40969,1.40402,1.39835,1.39248,1.38661,1.38074,1.37487,1.369,1.36467,1.36034,1.35601,1.35168,1.34735,1.32635,1.33895,1.33475,1.33055,1.32635,1.32076,1.31517,1.30958,1.30399,1.2984
5.79919,5.6251,5.55925,5.4934,5.42755,5.3617,5.29585,5.26892,5.24199,5.21506,5.18813,5.1612,5.16874,5.17628,5.18382,5.19136,5.1989,5.1087,5.0185,4.9283,4.8381,4.7479,4.6732,4.5985,4.5238,4.4491,4.3744,4.19994,4.02548,3.85102,3.67656,3.5021,3.41484,3.32758,3.24032,3.15306,3.0658,3.05894,3.05208,3.04522,3.03836,3.0315,3.0374,3.0433,3.0492,3.0551,3.061,3.07515,3.0893,3.10345,3.1176,3.13175,3.13222,3.13269,3.13316,3.13363,3.1341,3.129,3.1239,3.1188,3.1137,3.1086,3.09886,3.08912,3.07938,3.06964,3.0599,3.04335,3.0268,3.01025,2.9937,2.97715,2.95375,2.93035,2.90695,2.88355,2.86015,2.72755,2.80711,2.78059,2.75407,2.72755,2.702,2.67645,2.6509,2.62535,2.5998
8.87823,8.4453,8.14194,7.83858,7.53522,7.23186,6.9285,6.61627,6.30404,5.99181,5.67958,5.36735,5.17206,4.97677,4.78148,4.58619,4.3909,4.20664,4.02238,3.83812,3.65386,3.4696,3.35003,3.23046,3.11089,2.99132,2.87175,2.75179,2.63183,2.51187,2.39191,2.27195,2.19358,2.11521,2.03684,1.95847,1.8801,1.86736,1.85462,1.84188,1.82914,1.8164,1.8082,1.8,1.7918,1.7836,1.7754,1.74282,1.71024,1.67766,1.64508,1.6125,1.59766,1.58282,1.56798,1.55314,1.5383,1.52634,1.51438,1.50242,1.49046,1.4785,1.46758,1.45666,1.44574,1.43482,1.4239,1.41295,1.402,1.39105,1.3801,1.36915,1.3589,1.34865,1.3384,1.32815,1.3179,1.26865,1.2982,1.28835,1.2785,1.26865,1.2603,1.25195,1.2436,1.23525,1.2269
5.06108,5.0172,4.97237,4.92754,4.88271,4.83788,4.79305,4.8908,4.98855,5.0863,5.18405,5.2818,5.3526,5.4234,5.4942,5.565,5.6358,5.3905,5.1452,4.8999,4.6546,4.4093,4.21252,4.01574,3.81896,3.62218,3.4254,3.06214,2.69888,2.33562,1.97236,1.6091,1.49173,1.37436,1.25699,1.13962,1.02225,1.0185,1.01475,1.011,1.00725,1.0035,1.00332,1.00314,1.00296,1.00278,1.0026,0.99645,0.9903,0.98415,0.978,0.97185,0.97081,0.96977,0.96873,0.96769,0.96665,0.96514,0.96363,0.96212,0.96061,0.9591,0.95862,0.95814,0.95766,0.95718,0.9567,0.95624,0.95578,0.95532,0.95486,0.9544,0.95508,0.95576,0.95644,0.95712,0.9578,0.9613,0.9592,0.9599,0.9606,0.9613,0.96259,0.96388,0.96517,0.96646,0.96775
