2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.92042,2.8952,2.87164,2.84808,2.82452,2.80096,2.7774,2.74418,2.71096,2.67774,2.64452,2.6113,2.57882,2.54634,2.51386,2.48138,2.4489,2.3963,2.3437,2.2911,2.2385,2.1859,2.14028,2.09466,2.04904,2.00342,1.9578,1.89846,1.83912,1.77978,1.72044,1.6611,1.62388,1.58666,1.54944,1.51222,1.475,1.45742,1.43984,1.42226,1.40468,1.3871,1.37068,1.35426,1.33784,1.32142,1.305,1.28314,1.26128,1.23942,1.21756,1.1957,1.17896,1.16222,1.14548,1.12874,1.112,1.0951,1.0782,1.0613,1.0444,1.0275,1.01322,0.99894,0.98466,0.97038,0.9561,0.94114,0.92618,0.91122,0.89626,0.8813,0.86906,0.85682,0.84458,0.83234,0.8201,0.7513,0.79258,0.77882,0.76506,0.7513,0.74156,0.73182,0.72208,0.71234,0.7026
0.91092,0.9083,0.90758,0.90686,0.90614,0.90542,0.9047,0.89448,0.88426,0.87404,0.86382,0.8536,0.84054,0.82748,0.81442,0.80136,0.7883,0.77422,0.76014,0.74606,0.73198,0.7179,0.70954,0.70118,0.69282,0.68446,0.6761,0.66528,0.65446,0.64364,0.63282,0.622,0.61512,0.60824,0.60136,0.59448,0.5876,0.58296,0.57832,0.57368,0.56904,0.5644,0.56002,0.55564,0.55126,0.54688,0.5425,0.54494,0.54738,0.54982,0.55226,0.5547,0.55092,0.54714,0.54336,0.53958,0.5358,0.532,0.5282,0.5244,0.5206,0.5168,0.51346,0.51012,0.50678,0.50344,0.5001,0.49654,0.49298,0.48942,0.48586,0.4823,0.47932,0.47634,0.47336,0.47038,0.4674,0.45,0.46044,0.45696,0.45348,0.45,0.4477,0.4454,0.4431,0.4408,0.4385
1.91708,1.9105,1.9205,1.9305,1.9405,1.9505,1.9605,1.95558,1.95066,1.94574,1.94082,1.9359,1.93162,1.92734,1.92306,1.91878,1.9145,1.8892,1.8639,1.8386,1.8133,1.788,1.7665,1.745,1.7235,1.702,1.6805,1.6395,1.5985,1.5575,1.5165,1.4755,1.455,1.4345,1.414,1.3935,1.373,1.36608,1.35916,1.35224,1.34532,1.3384,1.33276,1.32712,1.32148,1.31584,1.3102,1.34272,1.37524,1.40776,1.44028,1.4728,1.47184,1.47088,1.46992,1.46896,1.468,1.46988,1.47176,1.47364,1.47552,1.4774,1.47606,1.47472,1.47338,1.47204,1.4707,1.46736,1.46402,1.46068,1.45734,1.454,1.4532,1.4524,1.4516,1.4508,1.45,1.4347,1.44388,1.44082,1.43776,1.4347,1.43296,1.43122,1.42948,1.42774,1.426
1.01192,0.9831,0.96154,0.93998,0.91842,0.89686,0.8753,0.84534,0.81538,0.78542,0.75546,0.7255,0.7071,0.6887,0.6703,0.6519,0.6335,0.62182,0.61014,0.59846,0.58678,0.5751,0.56634,0.55758,0.54882,0.54006,0.5313,0.52266,0.51402,0.50538,0.49674,0.4881,0.48134,0.47458,0.46782,0.46106,0.4543,0.45128,0.44826,0.44524,0.44222,0.4392,0.43622,0.43324,0.43026,0.42728,0.4243,0.4273,0.4303,0.4333,0.4363,0.4393,0.4357,0.4321,0.4285,0.4249,0.4213,0.4186,0.4159,0.4132,0.4105,0.4078,0.40662,0.40544,0.40426,0.40308,0.4019,0.3986,0.3953,0.392,0.3887,0.3854,0.38254,0.37968,0.37682,0.37396,0.3711,0.3568,0.36538,0.36252,0.35966,0.3568,0.35556,0.35432,0.35308,0.35184,0.3506
0.46584,0.4588,0.45542,0.45204,0.44866,0.44528,0.4419,0.44498,0.44806,0.45114,0.45422,0.4573,0.45544,0.45358,0.45172,0.44986,0.448,0.44062,0.43324,0.42586,0.41848,0.4111,0.4036,0.3961,0.3886,0.3811,0.3736,0.36418,0.35476,0.34534,0.33592,0.3265,0.31974,0.31298,0.30622,0.29946,0.2927,0.28986,0.28702,0.28418,0.28134,0.2785,0.27592,0.27334,0.27076,0.26818,0.2656,0.26228,0.25896,0.25564,0.25232,0.249,0.24684,0.24468,0.24252,0.24036,0.2382,0.2359,0.2336,0.2313,0.229,0.2267,0.22458,0.22246,0.22034,0.21822,0.2161,0.21386,0.21162,0.20938,0.20714,0.2049,0.203,0.2011,0.1992,0.1973,0.1954,0.1848,0.19116,0.18904,0.18692,0.1848,0.18316,0.18152,0.17988,0.17824,0.1766
