2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.62712,21.29355,21.25401,21.21447,21.17493,21.13539,21.09585,20.92697,20.75809,20.58921,20.42033,20.25145,20.08838,19.92531,19.76224,19.59917,19.4361,19.00653,18.57696,18.14739,17.71782,17.28825,16.75744,16.22663,15.69582,15.16501,14.6342,14.01663,13.39906,12.78149,12.16392,11.54635,10.87971,10.21307,9.54643,8.87979,8.21315,8.06306,7.91297,7.76288,7.61279,7.4627,7.28443,7.10616,6.92789,6.74962,6.57135,6.388725,6.2061,6.023475,5.84085,5.658225,5.4756,5.292975,5.11035,4.927725,4.7451,4.684535,4.62397,4.563405,4.50284,4.442275,4.38171,4.321145,4.26058,4.200015,4.13945,4.114165,4.08888,4.063595,4.03831,4.013025,3.98774,3.962455,3.93717,3.911885,3.8866,3.863865,3.84113,3.818395,3.79566,3.772925,3.75019,3.727455,3.70472,3.681985,3.65925
2.20443,2.19745,2.15036,2.10327,2.05618,2.00909,1.962,1.91588,1.86976,1.82364,1.77752,1.7314,1.69528,1.65916,1.62304,1.58692,1.5508,1.49507,1.43934,1.38361,1.32788,1.27215,1.23608,1.20001,1.16394,1.12787,1.0918,1.04922,1.00664,0.96406,0.92148,0.8789,0.83062,0.78234,0.73406,0.68578,0.6375,0.63745,0.6374,0.63735,0.6373,0.63725,0.63317,0.62909,0.62501,0.62093,0.61685,0.61652,0.61619,0.61586,0.61553,0.6152,0.61487,0.61454,0.61421,0.61388,0.61355,0.61172,0.60989,0.60806,0.60623,0.6044,0.60257,0.60074,0.59891,0.59708,0.59525,0.594105,0.59296,0.591815,0.59067,0.589525,0.58838,0.587235,0.58609,0.584945,0.5838,0.582795,0.58179,0.580785,0.57978,0.578775,0.57777,0.576765,0.57576,0.574755,0.57375
5.79525,5.71865,5.63853,5.55841,5.47829,5.39817,5.31805,5.27059,5.22313,5.17567,5.12821,5.08075,5.0303,4.97985,4.9294,4.87895,4.8285,4.68563,4.54276,4.39989,4.25702,4.11415,3.9884,3.86265,3.7369,3.61115,3.4854,3.33983,3.19426,3.04869,2.90312,2.75755,2.61569,2.47383,2.33197,2.19011,2.04825,2.0456,2.04295,2.0403,2.03765,2.035,2.01938,2.00376,1.98814,1.97252,1.9569,1.94056,1.92422,1.90788,1.89154,1.8752,1.85886,1.84252,1.82618,1.80984,1.7935,1.779985,1.76647,1.752955,1.73944,1.725925,1.71241,1.698895,1.68538,1.671865,1.65835,1.652365,1.64638,1.640395,1.63441,1.628425,1.62244,1.616455,1.61047,1.604485,1.5985,1.59457,1.59064,1.58671,1.58278,1.57885,1.57492,1.57099,1.56706,1.56313,1.5592
10.09798,9.682,9.26159,8.84118,8.42077,8.00036,7.57995,7.15296,6.72597,6.29898,5.87199,5.445,5.23244,5.01988,4.80732,4.59476,4.3822,4.24046,4.09872,3.95698,3.81524,3.6735,3.56575,3.458,3.35025,3.2425,3.13475,3.01592,2.89709,2.77826,2.65943,2.5406,2.42509,2.30958,2.19407,2.07856,1.96305,1.96528,1.96751,1.96974,1.97197,1.9742,1.96234,1.95048,1.93862,1.92676,1.9149,1.910495,1.90609,1.901685,1.89728,1.892875,1.88847,1.884065,1.87966,1.875255,1.87085,1.86675,1.86265,1.85855,1.85445,1.85035,1.84625,1.84215,1.83805,1.83395,1.82985,1.825215,1.82058,1.815945,1.81131,1.806675,1.80204,1.797405,1.79277,1.788135,1.7835,1.78155,1.7796,1.77765,1.7757,1.77375,1.7718,1.76985,1.7679,1.76595,1.764
2.09685,2.07575,2.0269,1.97805,1.9292,1.88035,1.8315,1.78267,1.73384,1.68501,1.63618,1.58735,1.54107,1.49479,1.44851,1.40223,1.35595,1.29666,1.23737,1.17808,1.11879,1.0595,1.01138,0.96326,0.91514,0.86702,0.8189,0.78269,0.74648,0.71027,0.67406,0.63785,0.61538,0.59291,0.57044,0.54797,0.5255,0.52405,0.5226,0.52115,0.5197,0.51825,0.51616,0.51407,0.51198,0.50989,0.5078,0.506985,0.50617,0.505355,0.50454,0.503725,0.50291,0.502095,0.50128,0.500465,0.49965,0.49836,0.49707,0.49578,0.49449,0.4932,0.49191,0.49062,0.48933,0.48804,0.48675,0.48549,0.48423,0.48297,0.48171,0.48045,0.47919,0.47793,0.47667,0.47541,0.47415,0.47199,0.46983,0.46767,0.46551,0.46335,0.46119,0.45903,0.45687,0.45471,0.45255
