2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.58362378,3.6357258,3.68993216,3.74413852,3.79834488,3.85255124,3.9067576,3.93145342,3.95614924,3.98084506,4.00554088,4.0302367,4.045398,4.0605593,4.0757206,4.0908819,4.1060432,4.13323572,4.16042824,4.18762076,4.21481328,4.2420058,4.2634716,4.2849374,4.3064032,4.327869,4.3493348,4.36745376,4.38557272,4.40369168,4.42181064,4.4399296,4.45344082,4.46695204,4.48046326,4.49397448,4.5074857,4.51426514,4.52104458,4.52782402,4.53460346,4.5413829,4.54623714,4.55109138,4.55594562,4.56079986,4.5656541,4.56920804,4.57276198,4.57631592,4.57986986,4.5834238,4.58173144,4.58003908,4.57834672,4.57665436,4.574962,4.5717163,4.5684706,4.5652249,4.5619792,4.5587335,4.5552866,4.5518397,4.5483928,4.5449459,4.541499,4.53736688,4.53323476,4.52910264,4.52497052,4.5208384,4.51544992,4.51006144,4.50467296,4.49928448,4.493896,4.4879326,4.4819692,4.4760058,4.4700424,4.464079,4.45551554,4.44695208,4.43838862,4.42982516,4.4212617
1.32319134,1.339564,1.35588084,1.37219768,1.38851452,1.40483136,1.4211482,1.41390122,1.40665424,1.39940726,1.39216028,1.3849133,1.38269526,1.38047722,1.37825918,1.37604114,1.3738231,1.38155298,1.38928286,1.39701274,1.40474262,1.4124725,1.42272602,1.43297954,1.44323306,1.45348658,1.4637401,1.4744927,1.4852453,1.4959979,1.5067505,1.5175031,1.52816064,1.53881818,1.54947572,1.56013326,1.5707908,1.58048246,1.59017412,1.59986578,1.60955744,1.6192491,1.62810952,1.63696994,1.64583036,1.65469078,1.6635512,1.66813272,1.67271424,1.67729576,1.68187728,1.6864588,1.6870155,1.6875722,1.6881289,1.6886856,1.6892423,1.68915958,1.68907686,1.68899414,1.68891142,1.6888287,1.688528,1.6882273,1.6879266,1.6876259,1.6873252,1.68643164,1.68553808,1.68464452,1.68375096,1.6828574,1.68132222,1.67978704,1.67825186,1.67671668,1.6751815,1.6727661,1.6703507,1.6679353,1.6655199,1.6631045,1.65952704,1.65594958,1.65237212,1.64879466,1.6452172
1.70369846,1.7438655,1.79149892,1.83913234,1.88676576,1.93439918,1.9820326,1.983613,1.9851934,1.9867738,1.9883542,1.9899346,1.99250422,1.99507384,1.99764346,2.00021308,2.0027827,2.03656854,2.07035438,2.10414022,2.13792606,2.1717119,2.22557598,2.27944006,2.33330414,2.38716822,2.4410323,2.50587894,2.57072558,2.63557222,2.70041886,2.7652655,2.83838106,2.91149662,2.98461218,3.05772774,3.1308433,3.18963692,3.24843054,3.30722416,3.36601778,3.4248114,3.48740202,3.54999264,3.61258326,3.67517388,3.7377645,3.80033314,3.86290178,3.92547042,3.98803906,4.0506077,4.11236518,4.17412266,4.23588014,4.29763762,4.3593951,4.4168488,4.4743025,4.5317562,4.5892099,4.6466636,4.71034472,4.77402584,4.83770696,4.90138808,4.9650692,5.02558406,5.08609892,5.14661378,5.20712864,5.2676435,5.31940156,5.37115962,5.42291768,5.47467574,5.5264338,5.57138134,5.61632888,5.66127642,5.70622396,5.7511715,5.76838892,5.78560634,5.80282376,5.82004118,5.8372586
3.25573822,3.2664305,3.23097248,3.19551446,3.16005644,3.12459842,3.0891404,2.94500788,2.80087536,2.65674284,2.51261032,2.3684778,2.31895604,2.26943428,2.21991252,2.17039076,2.120869,2.1468228,2.1727766,2.1987304,2.2246842,2.250638,2.2657895,2.280941,2.2960925,2.311244,2.3263955,2.33870966,2.35102382,2.36333798,2.37565214,2.3879663,2.39627922,2.40459214,2.41290506,2.42121798,2.4295309,2.43402626,2.43852162,2.44301698,2.44751234,2.4520077,2.4615899,2.4711721,2.4807543,2.4903365,2.4999187,2.5095038,2.5190889,2.528674,2.5382591,2.5478442,2.55650796,2.56517172,2.57383548,2.58249924,2.591163,2.59846652,2.60577004,2.61307356,2.62037708,2.6276806,2.6342448,2.640809,2.6473732,2.6539374,2.6605016,2.66593846,2.67137532,2.67681218,2.68224904,2.6876859,2.69221268,2.69673946,2.70126624,2.70579302,2.7103198,2.71108824,2.71185668,2.71262512,2.71339356,2.714162,2.71290668,2.71165136,2.71039604,2.70914072,2.7078854
0.55130544,0.5426938,0.53126262,0.51983144,0.50840026,0.49696908,0.4855379,0.51884822,0.55215854,0.58546886,0.61877918,0.6520895,0.65639312,0.66069674,0.66500036,0.66930398,0.6736076,0.67620982,0.67881204,0.68141426,0.68401648,0.6866187,0.68868354,0.69074838,0.69281322,0.69487806,0.6969429,0.69800792,0.69907294,0.70013796,0.70120298,0.702268,0.70247082,0.70267364,0.70287646,0.70307928,0.7032821,0.70327676,0.70327142,0.70326608,0.70326074,0.7032554,0.70408176,0.70490812,0.70573448,0.70656084,0.7073872,0.70823872,0.70909024,0.70994176,0.71079328,0.7116448,0.71212298,0.71260116,0.71307934,0.71355752,0.7140357,0.71410024,0.71416478,0.71422932,0.71429386,0.7143584,0.71417942,0.71400044,0.71382146,0.71364248,0.7134635,0.71314482,0.71282614,0.71250746,0.71218878,0.7118701,0.71153644,0.71120278,0.71086912,0.71053546,0.7102018,0.70982604,0.70945028,0.70907452,0.70869876,0.708323,0.70762498,0.70692696,0.70622894,0.70553092,0.7048329
