2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.24228,4.2896,4.27768,4.26576,4.25384,4.24192,4.23,4.17554,4.12108,4.06662,4.01216,3.9577,3.91604,3.87438,3.83272,3.79106,3.7494,3.63064,3.51188,3.39312,3.27436,3.1556,3.05658,2.95756,2.85854,2.75952,2.6605,2.54336,2.42622,2.30908,2.19194,2.0748,1.97206,1.86932,1.76658,1.66384,1.5611,1.53912,1.51714,1.49516,1.47318,1.4512,1.42816,1.40512,1.38208,1.35904,1.336,1.32011,1.30422,1.28833,1.27244,1.25655,1.24066,1.22477,1.20888,1.19299,1.1771,1.17064,1.16418,1.15772,1.15126,1.1448,1.13834,1.13188,1.12542,1.11896,1.1125,1.10554,1.09858,1.09162,1.08466,1.0777,1.07074,1.06378,1.05682,1.04986,1.0429,1.03978,1.03666,1.03354,1.03042,1.0273,1.02418,1.02106,1.01794,1.01482,1.0117
0.8661,0.8778,0.86468,0.85156,0.83844,0.82532,0.8122,0.80594,0.79968,0.79342,0.78716,0.7809,0.77118,0.76146,0.75174,0.74202,0.7323,0.70188,0.67146,0.64104,0.61062,0.5802,0.56312,0.54604,0.52896,0.51188,0.4948,0.47842,0.46204,0.44566,0.42928,0.4129,0.39578,0.37866,0.36154,0.34442,0.3273,0.32424,0.32118,0.31812,0.31506,0.312,0.3096,0.3072,0.3048,0.3024,0.3,0.29798,0.29596,0.29394,0.29192,0.2899,0.28788,0.28586,0.28384,0.28182,0.2798,0.27847,0.27714,0.27581,0.27448,0.27315,0.27182,0.27049,0.26916,0.26783,0.2665,0.26538,0.26426,0.26314,0.26202,0.2609,0.25978,0.25866,0.25754,0.25642,0.2553,0.25447,0.25364,0.25281,0.25198,0.25115,0.25032,0.24949,0.24866,0.24783,0.247
2.60306,2.6451,2.69254,2.73998,2.78742,2.83486,2.8823,2.91946,2.95662,2.99378,3.03094,3.0681,3.09304,3.11798,3.14292,3.16786,3.1928,3.13452,3.07624,3.01796,2.95968,2.9014,2.83422,2.76704,2.69986,2.63268,2.5655,2.4892,2.4129,2.3366,2.2603,2.184,2.09718,2.01036,1.92354,1.83672,1.7499,1.73622,1.72254,1.70886,1.69518,1.6815,1.66732,1.65314,1.63896,1.62478,1.6106,1.59937,1.58814,1.57691,1.56568,1.55445,1.54322,1.53199,1.52076,1.50953,1.4983,1.49228,1.48626,1.48024,1.47422,1.4682,1.46218,1.45616,1.45014,1.44412,1.4381,1.43416,1.43022,1.42628,1.42234,1.4184,1.41446,1.41052,1.40658,1.40264,1.3987,1.39637,1.39404,1.39171,1.38938,1.38705,1.38472,1.38239,1.38006,1.37773,1.3754
1.06902,1.0401,1.02112,1.00214,0.98316,0.96418,0.9452,0.9217,0.8982,0.8747,0.8512,0.8277,0.80386,0.78002,0.75618,0.73234,0.7085,0.69608,0.68366,0.67124,0.65882,0.6464,0.63436,0.62232,0.61028,0.59824,0.5862,0.57468,0.56316,0.55164,0.54012,0.5286,0.51788,0.50716,0.49644,0.48572,0.475,0.47846,0.48192,0.48538,0.48884,0.4923,0.48574,0.47918,0.47262,0.46606,0.4595,0.45783,0.45616,0.45449,0.45282,0.45115,0.44948,0.44781,0.44614,0.44447,0.4428,0.44176,0.44072,0.43968,0.43864,0.4376,0.43656,0.43552,0.43448,0.43344,0.4324,0.43114,0.42988,0.42862,0.42736,0.4261,0.42484,0.42358,0.42232,0.42106,0.4198,0.41914,0.41848,0.41782,0.41716,0.4165,0.41584,0.41518,0.41452,0.41386,0.4132
0.30878,0.3097,0.31006,0.31042,0.31078,0.31114,0.3115,0.3102,0.3089,0.3076,0.3063,0.305,0.3037,0.3024,0.3011,0.2998,0.2985,0.2929,0.2873,0.2817,0.2761,0.2705,0.2646,0.2587,0.2528,0.2469,0.241,0.23536,0.22972,0.22408,0.21844,0.2128,0.20726,0.20172,0.19618,0.19064,0.1851,0.18506,0.18502,0.18498,0.18494,0.1849,0.18414,0.18338,0.18262,0.18186,0.1811,0.18091,0.18072,0.18053,0.18034,0.18015,0.17996,0.17977,0.17958,0.17939,0.1792,0.17916,0.17912,0.17908,0.17904,0.179,0.17896,0.17892,0.17888,0.17884,0.1788,0.17882,0.17884,0.17886,0.17888,0.1789,0.17892,0.17894,0.17896,0.17898,0.179,0.17807,0.17714,0.17621,0.17528,0.17435,0.17342,0.17249,0.17156,0.17063,0.1697
