2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.94318,5.0124,4.99152,4.97064,4.94976,4.92888,4.908,4.89368,4.87936,4.86504,4.85072,4.8364,4.81816,4.79992,4.78168,4.76344,4.7452,4.66926,4.59332,4.51738,4.44144,4.3655,4.2991,4.2327,4.1663,4.0999,4.0335,3.93796,3.84242,3.74688,3.65134,3.5558,3.48252,3.40924,3.33596,3.26268,3.1894,3.1492,3.109,3.0688,3.0286,2.9884,2.9578,2.9272,2.8966,2.866,2.8354,2.7972,2.759,2.7208,2.6826,2.6444,2.60946,2.57452,2.53958,2.50464,2.4697,2.42762,2.38554,2.34346,2.30138,2.2593,2.2234,2.1875,2.1516,2.1157,2.0798,2.0417,2.0036,1.9655,1.9274,1.8893,1.85788,1.82646,1.79504,1.76362,1.7322,1.69186,1.65152,1.61118,1.57084,1.5305,1.5055,1.4805,1.4555,1.4305,1.4055
0.87736,0.8083,0.80716,0.80602,0.80488,0.80374,0.8026,0.80282,0.80304,0.80326,0.80348,0.8037,0.80544,0.80718,0.80892,0.81066,0.8124,0.79886,0.78532,0.77178,0.75824,0.7447,0.73312,0.72154,0.70996,0.69838,0.6868,0.66378,0.64076,0.61774,0.59472,0.5717,0.56176,0.55182,0.54188,0.53194,0.522,0.51744,0.51288,0.50832,0.50376,0.4992,0.49592,0.49264,0.48936,0.48608,0.4828,0.48004,0.47728,0.47452,0.47176,0.469,0.46672,0.46444,0.46216,0.45988,0.4576,0.45514,0.45268,0.45022,0.44776,0.4453,0.44338,0.44146,0.43954,0.43762,0.4357,0.43348,0.43126,0.42904,0.42682,0.4246,0.42314,0.42168,0.42022,0.41876,0.4173,0.41516,0.41302,0.41088,0.40874,0.4066,0.40556,0.40452,0.40348,0.40244,0.4014
2.589,2.5996,2.60936,2.61912,2.62888,2.63864,2.6484,2.6589,2.6694,2.6799,2.6904,2.7009,2.709,2.7171,2.7252,2.7333,2.7414,2.71364,2.68588,2.65812,2.63036,2.6026,2.57624,2.54988,2.52352,2.49716,2.4708,2.42454,2.37828,2.33202,2.28576,2.2395,2.20442,2.16934,2.13426,2.09918,2.0641,2.0448,2.0255,2.0062,1.9869,1.9676,1.95136,1.93512,1.91888,1.90264,1.8864,1.87086,1.85532,1.83978,1.82424,1.8087,1.79438,1.78006,1.76574,1.75142,1.7371,1.7209,1.7047,1.6885,1.6723,1.6561,1.64106,1.62602,1.61098,1.59594,1.5809,1.56458,1.54826,1.53194,1.51562,1.4993,1.48446,1.46962,1.45478,1.43994,1.4251,1.40758,1.39006,1.37254,1.35502,1.3375,1.32392,1.31034,1.29676,1.28318,1.2696
0.8732,0.87,0.86046,0.85092,0.84138,0.83184,0.8223,0.81036,0.79842,0.78648,0.77454,0.7626,0.75554,0.74848,0.74142,0.73436,0.7273,0.71886,0.71042,0.70198,0.69354,0.6851,0.67758,0.67006,0.66254,0.65502,0.6475,0.63688,0.62626,0.61564,0.60502,0.5944,0.5852,0.576,0.5668,0.5576,0.5484,0.54286,0.53732,0.53178,0.52624,0.5207,0.5167,0.5127,0.5087,0.5047,0.5007,0.49722,0.49374,0.49026,0.48678,0.4833,0.48036,0.47742,0.47448,0.47154,0.4686,0.4656,0.4626,0.4596,0.4566,0.4536,0.45066,0.44772,0.44478,0.44184,0.4389,0.4353,0.4317,0.4281,0.4245,0.4209,0.41564,0.41038,0.40512,0.39986,0.3946,0.38894,0.38328,0.37762,0.37196,0.3663,0.36272,0.35914,0.35556,0.35198,0.3484
0.44778,0.4545,0.45534,0.45618,0.45702,0.45786,0.4587,0.45884,0.45898,0.45912,0.45926,0.4594,0.45942,0.45944,0.45946,0.45948,0.4595,0.45332,0.44714,0.44096,0.43478,0.4286,0.42274,0.41688,0.41102,0.40516,0.3993,0.39108,0.38286,0.37464,0.36642,0.3582,0.35168,0.34516,0.33864,0.33212,0.3256,0.32246,0.31932,0.31618,0.31304,0.3099,0.30762,0.30534,0.30306,0.30078,0.2985,0.2962,0.2939,0.2916,0.2893,0.287,0.28484,0.28268,0.28052,0.27836,0.2762,0.27378,0.27136,0.26894,0.26652,0.2641,0.26192,0.25974,0.25756,0.25538,0.2532,0.25076,0.24832,0.24588,0.24344,0.241,0.23892,0.23684,0.23476,0.23268,0.2306,0.22808,0.22556,0.22304,0.22052,0.218,0.21602,0.21404,0.21206,0.21008,0.2081
