2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.5804206,3.6374128,3.694405,3.7513972,3.8083894,3.8653816,3.9223738,3.97611809,4.02986238,4.08360667,4.13735096,4.19109525,4.24483954,4.29858383,4.35232812,4.40607241,4.4598167,4.51234502,4.56487334,4.61740166,4.66992998,4.7224583,4.77498662,4.82751494,4.88004326,4.93257158,4.9850999,4.9787796,4.9724593,4.966139,4.9598187,4.9534984,4.9471781,4.9408578,4.9345375,4.9282172,4.9218969,4.91711309,4.91232928,4.90754547,4.90276166,4.89797785,4.89319404,4.88841023,4.88362642,4.87884261,4.8740588,4.85331366,4.83256852,4.81182338,4.79107824,4.7703331,4.74958796,4.72884282,4.70809768,4.68735254,4.6666074,4.60401914,4.54143088,4.47884262,4.41625436,4.3536661,4.29107784,4.22848958,4.16590132,4.10331306,4.0407248,4.01879914,3.99687348,3.97494782,3.95302216,3.9310965,3.90917084,3.88724518,3.86531952,3.84339386,3.8214682,3.79546157,3.76945494,3.74344831,3.71744168,3.69143505,3.66542842,3.63942179,3.61341516,3.58740853,3.5614019
1.27552594,1.2812661,1.28700626,1.29274642,1.29848658,1.30422674,1.3099669,1.32404951,1.33813212,1.35221473,1.36629734,1.38037995,1.39446256,1.40854517,1.42262778,1.43671039,1.450793,1.45529158,1.45979016,1.46428874,1.46878732,1.4732859,1.47778448,1.48228306,1.48678164,1.49128022,1.4957788,1.49752928,1.49927976,1.50103024,1.50278072,1.5045312,1.50628168,1.50803216,1.50978264,1.51153312,1.5132836,1.5130895,1.5128954,1.5127013,1.5125072,1.5123131,1.512119,1.5119249,1.5117308,1.5115367,1.5113426,1.50934383,1.50734506,1.50534629,1.50334752,1.50134875,1.49934998,1.49735121,1.49535244,1.49335367,1.4913549,1.48883946,1.48632402,1.48380858,1.48129314,1.4787777,1.47626226,1.47374682,1.47123138,1.46871594,1.4662005,1.46396864,1.46173678,1.45950492,1.45727306,1.4550412,1.45280934,1.45057748,1.44834562,1.44611376,1.4438819,1.43817037,1.43245884,1.42674731,1.42103578,1.41532425,1.40961272,1.40390119,1.39818966,1.39247813,1.3867666
1.08108246,1.09064475,1.10020704,1.10976933,1.11933162,1.12889391,1.1384562,1.14688486,1.15531352,1.16374218,1.17217084,1.1805995,1.18902816,1.19745682,1.20588548,1.21431414,1.2227428,1.22902815,1.2353135,1.24159885,1.2478842,1.25416955,1.2604549,1.26674025,1.2730256,1.27931095,1.2855963,1.28951459,1.29343288,1.29735117,1.30126946,1.30518775,1.30910604,1.31302433,1.31694262,1.32086091,1.3247792,1.32740566,1.33003212,1.33265858,1.33528504,1.3379115,1.34053796,1.34316442,1.34579088,1.34841734,1.3510438,1.35213547,1.35322714,1.35431881,1.35541048,1.35650215,1.35759382,1.35868549,1.35977716,1.36086883,1.3619605,1.36259991,1.36323932,1.36387873,1.36451814,1.36515755,1.36579696,1.36643637,1.36707578,1.36771519,1.3683546,1.36546697,1.36257934,1.35969171,1.35680408,1.35391645,1.35102882,1.34814119,1.34525356,1.34236593,1.3394783,1.33797612,1.33647394,1.33497176,1.33346958,1.3319674,1.33046522,1.32896304,1.32746086,1.32595868,1.3244565
2.56671118,2.5791927,2.59167422,2.60415574,2.61663726,2.62911878,2.6416003,2.6395162,2.6374321,2.635348,2.6332639,2.6311798,2.6290957,2.6270116,2.6249275,2.6228434,2.6207593,2.6062767,2.5917941,2.5773115,2.5628289,2.5483463,2.5338637,2.5193811,2.5048985,2.4904159,2.4759333,2.46878808,2.46164286,2.45449764,2.44735242,2.4402072,2.43306198,2.42591676,2.41877154,2.41162632,2.4044811,2.4052795,2.4060779,2.4068763,2.4076747,2.4084731,2.4092715,2.4100699,2.4108683,2.4116667,2.4124651,2.40941028,2.40635546,2.40330064,2.40024582,2.397191,2.39413618,2.39108136,2.38802654,2.38497172,2.3819169,2.37710613,2.37229536,2.36748459,2.36267382,2.35786305,2.35305228,2.34824151,2.34343074,2.33861997,2.3338092,2.33282958,2.33184996,2.33087034,2.32989072,2.3289111,2.32793148,2.32695186,2.32597224,2.32499262,2.324013,2.32187482,2.31973664,2.31759846,2.31546028,2.3133221,2.31118392,2.30904574,2.30690756,2.30476938,2.3026312
0.40002212,0.4024291,0.40483608,0.40724306,0.40965004,0.41205702,0.414464,0.41864138,0.42281876,0.42699614,0.43117352,0.4353509,0.43952828,0.44370566,0.44788304,0.45206042,0.4562378,0.4596134,0.462989,0.4663646,0.4697402,0.4731158,0.4764914,0.479867,0.4832426,0.4866182,0.4899938,0.49199616,0.49399852,0.49600088,0.49800324,0.5000056,0.50200796,0.50401032,0.50601268,0.50801504,0.5100174,0.51174814,0.51347888,0.51520962,0.51694036,0.5186711,0.52040184,0.52213258,0.52386332,0.52559406,0.5273248,0.52685207,0.52637934,0.52590661,0.52543388,0.52496115,0.52448842,0.52401569,0.52354296,0.52307023,0.5225975,0.5220815,0.5215655,0.5210495,0.5205335,0.5200175,0.5195015,0.5189855,0.5184695,0.5179535,0.5174375,0.51823317,0.51902884,0.51982451,0.52062018,0.52141585,0.52221152,0.52300719,0.52380286,0.52459853,0.5253942,0.5254454,0.5254966,0.5255478,0.525599,0.5256502,0.5257014,0.5257526,0.5258038,0.525855,0.5259062
