2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20.56383,21.1882,21.51002,21.83184,22.15366,22.47548,22.7973,22.8837,22.9701,23.0565,23.1429,23.2293,23.09417,22.95904,22.82391,22.68878,22.55365,22.1441,21.73455,21.325,20.91545,20.5059,19.90494,19.30398,18.70302,18.10206,17.5011,16.73907,15.97704,15.21501,14.45298,13.69095,12.90156,12.11217,11.32278,10.53339,9.744,9.55987,9.37574,9.19161,9.00748,8.82335,8.57847,8.33359,8.08871,7.84383,7.59895,7.355205,7.11146,6.867715,6.62397,6.380225,6.13648,5.892735,5.64899,5.405245,5.1615,5.082705,5.00391,4.925115,4.84632,4.767525,4.68873,4.609935,4.53114,4.452345,4.37355,4.351165,4.32878,4.306395,4.28401,4.261625,4.23924,4.216855,4.19447,4.172085,4.1497,4.13284,4.11598,4.09912,4.08226,4.0654,4.04854,4.03168,4.01482,3.99796,3.9811
2.17646,2.1702,2.14243,2.11466,2.08689,2.05912,2.03135,2.02395,2.01655,2.00915,2.00175,1.99435,1.98067,1.96699,1.95331,1.93963,1.92595,1.87176,1.81757,1.76338,1.70919,1.655,1.59774,1.54048,1.48322,1.42596,1.3687,1.30237,1.23604,1.16971,1.10338,1.03705,0.96969,0.90233,0.83497,0.76761,0.70025,0.69392,0.68759,0.68126,0.67493,0.6686,0.65918,0.64976,0.64034,0.63092,0.6215,0.620875,0.62025,0.619625,0.619,0.618375,0.61775,0.617125,0.6165,0.615875,0.61525,0.61495,0.61465,0.61435,0.61405,0.61375,0.61345,0.61315,0.61285,0.61255,0.61225,0.612025,0.6118,0.611575,0.61135,0.611125,0.6109,0.610675,0.61045,0.610225,0.61,0.61192,0.61384,0.61576,0.61768,0.6196,0.62152,0.62344,0.62536,0.62728,0.6292
5.8247,5.73405,5.60609,5.47813,5.35017,5.22221,5.09425,5.00841,4.92257,4.83673,4.75089,4.66505,4.58981,4.51457,4.43933,4.36409,4.28885,4.16455,4.04025,3.91595,3.79165,3.66735,3.56687,3.46639,3.36591,3.26543,3.16495,3.04651,2.92807,2.80963,2.69119,2.57275,2.45184,2.33093,2.21002,2.08911,1.9682,1.96675,1.9653,1.96385,1.9624,1.96095,1.94987,1.93879,1.92771,1.91663,1.90555,1.902905,1.90026,1.897615,1.89497,1.892325,1.88968,1.887035,1.88439,1.881745,1.8791,1.870705,1.86231,1.853915,1.84552,1.837125,1.82873,1.820335,1.81194,1.803545,1.79515,1.78992,1.78469,1.77946,1.77423,1.769,1.76377,1.75854,1.75331,1.74808,1.74285,1.73783,1.73281,1.72779,1.72277,1.71775,1.71273,1.70771,1.70269,1.69767,1.69265
10.17109,9.68065,9.37258,9.06451,8.75644,8.44837,8.1403,7.87911,7.61792,7.35673,7.09554,6.83435,6.57719,6.32003,6.06287,5.80571,5.54855,5.37839,5.20823,5.03807,4.86791,4.69775,4.54624,4.39473,4.24322,4.09171,3.9402,3.78935,3.6385,3.48765,3.3368,3.18595,3.04101,2.89607,2.75113,2.60619,2.46125,2.4386,2.41595,2.3933,2.37065,2.348,2.314,2.28,2.246,2.212,2.178,2.144935,2.11187,2.078805,2.04574,2.012675,1.97961,1.946545,1.91348,1.880415,1.84735,1.83663,1.82591,1.81519,1.80447,1.79375,1.78303,1.77231,1.76159,1.75087,1.74015,1.734855,1.72956,1.724265,1.71897,1.713675,1.70838,1.703085,1.69779,1.692495,1.6872,1.687425,1.68765,1.687875,1.6881,1.688325,1.68855,1.688775,1.689,1.689225,1.68945
2.09882,2.0741,2.02856,1.98302,1.93748,1.89194,1.8464,1.80256,1.75872,1.71488,1.67104,1.6272,1.5849,1.5426,1.5003,1.458,1.4157,1.35431,1.29292,1.23153,1.17014,1.10875,1.05598,1.00321,0.95044,0.89767,0.8449,0.8054,0.7659,0.7264,0.6869,0.6474,0.62282,0.59824,0.57366,0.54908,0.5245,0.52158,0.51866,0.51574,0.51282,0.5099,0.50743,0.50496,0.50249,0.50002,0.49755,0.49658,0.49561,0.49464,0.49367,0.4927,0.49173,0.49076,0.48979,0.48882,0.48785,0.486665,0.48548,0.484295,0.48311,0.481925,0.48074,0.479555,0.47837,0.477185,0.476,0.47482,0.47364,0.47246,0.47128,0.4701,0.46892,0.46774,0.46656,0.46538,0.4642,0.462815,0.46143,0.460045,0.45866,0.457275,0.45589,0.454505,0.45312,0.451735,0.45035
